a "In; on; at; by."
valve "One of the pieces into which a capsule naturally separates when it bursts."
valved "Having a valve or valve; valvate."
valve-shell "Any fresh-water gastropod of the genus Valvata."
valvulae "of Valvula"
valvula "A little valve or fold; a valvelet; a valvule."
valvule "A little valve; a valvelet."
vambrace "The piece designed to protect the arm from the elbow to the wrist."
vamose "To depart quickly; to depart from."
vamp "To advance; to travel."
vamped "of Vamp"
vamping "of Vamp"
vamper "One who vamps; one who pieces an old thing with something new; a cobbler."
vampire "Fig.: One who lives by preying on others; an extortioner; a bloodsucker."
vampirism "Belief in the existence of vampires."
vamure "See Vauntmure."
van "A shovel used in cleansing ore."
vanadate "A salt of vanadic acid."
vanadous "Of or pertaining to vanadium; obtained from vanadium; -- said of an acid containing one equivalent of vanadium and two of oxygen."
van-courier "One sent in advance; an avant-courier; a precursor."
vandal "Alt. of Vandalic"
vandalic "Of or pertaining to the Vandals; resembling the Vandals in barbarism and destructiveness."
vandyke "Of or pertaining to the style of Vandyke the painter; used or represented by Vandyke."
vane "The rhachis and web of a feather taken together."
vanessa "Any one of numerous species of handsomely colored butterflies belonging to Vanessa and allied genera. Many of these species have the edges of the wings irregularly scalloped."
vanessian "A vanessa."
vang "A rope to steady the peak of a gaff."
vanguard "The troops who march in front of an army; the advance guard; the van."
vanillate "A salt of vanillic acid."
vanillyl "The hypothetical radical characteristic of vanillic alcohol."
vaniloquence "Vain or foolish talk."
vanished "of Vanish"
vanishing "of Vanish"
vanish "To be annihilated or lost; to pass away."
vanishment "A vanishing."
vanities "of Vanity"
vanity "The quality or state of being vain; want of substance to satisfy desire; emptiness; unsubstantialness; unrealness; falsity."
vanner "A machine for concentrating ore. See Frue vanner."
vanquished "of Vanquish"
vanquishing "of Vanquish"
vanquishable "That may be vanquished."
vant "See Vaunt."
vantage "superior or more favorable situation or opportunity; gain; profit; advantage."
vantbrace "Alt. of Vantbrass"
vantbrass "Armor for the arm; vambrace."
vant-courier "An avant-courier. See Van-courier."
vapidity "The quality or state of being vapid; vapidness."
vapor "Wind; flatulence."
vapored "of Vapor"
vaporing "of Vapor"
vaporability "The quality or state of being vaporable."
vaporable "Capable of being converted into vapor by the agency of heat; vaporizable."
vaporate "To emit vapor; to evaporate."
vaporer "One who vapors; a braggart."
vaporiferous "Conveying or producing vapor."
vaporish "Full of vapors; vaporous."
vaporizable "Capable of being vaporized into vapor."
vaporized "of Vaporize"
vaporizing "of Vaporize"
vaporize "To pass off in vapor."
vaporose "Full of vapor; vaporous."
vaporous "Having the form or nature of vapor."
vaporousness "The quality of being vaporous."
vapory "Full of vapors; vaporous."
vapulation "The act of beating or whipping."
vara "A Spanish measure of length equal to about one yard. The vara now in use equals 33.385 inches."
vare "A wand or staff of authority or justice."
vari "The ringtailed lemur of Madagascar. Its long tail is annulated with black and white."
variability "The quality or state of being variable; variableness."
variableness "The quality or state of being variable; variability."
variably "In a variable manner."
variance "The quality or state of being variant; change of condition; variation."
variant "Changeable; changing; fickle."
variate "To alter; to make different; to vary."
variation "Extent to which a thing varies; amount of departure from a position or state; amount or rate of change."
varicella "Chicken pox."
varices "See Varix."
variciform "Resembling a varix."
varicosity "The quality or state of being varicose."
varicous "Varicose."
variegated "of Variegate"
variegating "of Variegate"
varier "A wanderer; one who strays in search of variety."
varieties "of Variety"
variety "The quality or state of being various; intermixture or succession of different things; diversity; multifariousness."
variform "Having different shapes or forms."
variformed "Formed with different shapes; having various forms; variform."
varify "To make different; to vary; to variegate."
variola "The smallpox."
variolar "Variolous."
variolation "Inoculation with smallpox."
variolic "Variolous."
varioloid "Resembling smallpox; pertaining to the disease called varioloid."
various "Changeable; uncertain; inconstant; variable."
variously "In various or different ways."
variscite "An apple-green mineral occurring in reniform masses. It is a hydrous phosphate of alumina."
varix "One of the prominent ridges or ribs extending across each of the whorls of certain univalve shells."
varletry "The rabble; the crowd; the mob."
varnish "An artificial covering to give a fair appearance to any act or conduct; outside show; gloss."
varnished "of Varnish"
varnishing "of Varnish"
varnisher "One who varnishes; one whose occupation is to varnish."
varied "of Vary"
varying "of Vary"
vary "To change to something else; to transmute; to exchange; to alternate."
vasa "of Vas"
vas "A vessel; a duct."
vascularities "of Vascularity"
vascularity "The quality or state of being vascular."
vascula "of Vasculum"
vase "The calyx of a plant."
vasoconstrictor "A substance which causes constriction of the blood vessels. Such substances are used in medicine to raise blood pressure."
vaso-inhibitory "See Vasodilator."
vassal "A subject; a dependent; a servant; a slave."
vassalage "A territory held in vassalage."
vassaless "A female vassal."
vassalry "The body of vassals."
vast "Waste; desert; desolate; lonely."
vastation "A laying waste; waste; depopulation; devastation."
vastel "See Wastel."
vastidity "Vastness; immensity."
vastitude "Vastness; immense extent."
vastity "Vastness."
vastly "To a vast extent or degree; very greatly; immensely."
vastness "The quality or state of being vast."
vasty "Vast; immense."
vat "A wooden tub for washing ores and mineral substances in."
vatted "of Vat"
vatting "of Vat"
vatfuls "of Vatful"
vatful "As much as a vat will hold; enough to fill a vat."
vatical "Of or pertaining to a prophet; prophetical."
vaticanism "The doctrine of papal supremacy; extreme views in support of the authority of the pope; ultramontanism; -- a term used only by persons who are not Roman Catholics."
vaticanist "One who strongly adheres to the papal authority; an ultramontanist."
vaticinal "Of or pertaining to prophecy; prophetic."
vaticinate "To prophesy; to foretell; to practice prediction; to utter prophecies."
vaticination "Prediction; prophecy."
vaticinator "One who vaticinates; a prophet."
vaticine "A prediction; a vaticination."
vaudois "A modern name of the Waldenses."
vaudoux "See Voodoo."
vault "The canopy of heaven; the sky."
vaulted "of Vault"
vaulting "of Vault"
vaulter "One who vaults; a leaper; a tumbler."
vaulty "Arched; concave."
vaunce "To advance."
vaunted "of Vaunt"
vaunting "of Vaunt"
vaunt "To boast of; to make a vain display of; to display with ostentation."
vaunt-courier "See Van-courier."
vaunter "One who vaunts; a boaster."
vauntful "Given to vaunting or boasting; vainly ostentatious; boastful; vainglorious."
vauntingly "In a vaunting manner."
vauntmure "A false wall; a work raised in front of the main wall."
vaut "To vault; to leap."
vauty "Vaulted."
vaward "The fore part; van."
veal "The flesh of a calf when killed and used for food."
vection "Vectitation."
vector "Same as Radius vector."
vecture "The act of carrying; conveyance; carriage."
vedantic "Of or pertaining to the Vedas."
vedantist "One versed in the doctrines of the Vedantas."
veered "of Veer"
veering "of Veer"
vegetability "The quality or state of being vegetable."
vegetable "Plants having distinct flowers and true seeds."
vegetal "A vegetable."
vegetarianism "The theory or practice of living upon vegetables and fruits."
vegetated "of Vegetate"
vegetating "of Vegetate"
vegetate "Fig.: To lead a live too low for an animate creature; to do nothing but eat and grow."
vegete "Lively; active; sprightly; vigorous."
vegetive "A vegetable."
vegetous "Vigorous; lively; active; vegete."
vehemency "Vehemence."
vehemently "In a vehement manner."
vehicle "A substance in which medicine is taken."
vehicled "Conveyed in a vehicle; furnished with a vehicle."
vehiculary "Vehicular."
vehiculate "To convey by means of a vehicle; to ride in a vehicle."
vehiculation "Movement of vehicles."
vehiculatory "Vehicular."
veil "A cover; disguise; a mask; a pretense."
veiled "of Veil"
veiling "of Veil"
veilless "Having no veil."
vein "One of the similar branches of the framework of a leaf."
veined "of Vein"
veining "of Vein"
veinal "Pertaining to veins; venous."
veinlet "A small vein."
veinous "Marked with veins; veined; veiny."
velar "Of or pertaining to a velum; esp. of or pertaining to the soft palate."
velaria "of Velarium"
velarium "The marginal membrane of certain medusae belonging to the Discophora."
velate "Having a veil; veiled."
vele "A veil."
velella "Any species of oceanic Siphonophora belonging to the genus Velella."
veliferous "Carrying or bearing sails."
veliger "Any larval gastropod or bivalve mollusk in the state when it is furnished with one or two ciliated membranes for swimming."
velitation "A dispute or contest; a slight contest; a skirmish."
velivolant "Flying with sails; passing under full sail."
velleity "The lowest degree of desire; imperfect or incomplete volition."
vellet "Velvet."
vellicated "of Vellicate"
vellicating "of Vellicate"
vellicate "To twitch; to cause to twitch convulsively."
vellon "A word occurring in the phrase real vellon. See the Note under Its Real."
vellumy "Resembling vellum."
velecipedist "One who rides on a velocipede."
velocities "of Velocity"
velours "One of many textile fabrics having a pile like that of velvet."
veltfare "The fieldfare."
vela "of Velum"
velum "A thin membrane surrounding the sporocarps of quillworts Isoetes)."
velure "Velvet."
velutina "Any one of several species of marine gastropods belonging to Velutina and allied genera."
velverd "The veltfare."
velveret "A kind of velvet having cotton back."
velvet "The soft and highly vascular deciduous skin which envelops and nourishes the antlers of deer during their rapid growth."
velvetbreast "The goosander."
velveting "The fine shag or nap of velvet; a piece of velvet; velvet goods."
venae "of Vena"
vena "A vein."
venada "The pudu."
venally "In a venal manner."
venatic "Alt. of Venatical"
venatical "Of or pertaining to hunting; used in hunting."
venatica "See Vinatico."
venatorial "Or or pertaining to hunting; venatic."
vended "of Vend"
vending "of Vend"
vend "The act of vending or selling; a sale."
vendetta "A blood feud; private revenge for the murder of a kinsman."
venditate "To cry up. as if for sale; to blazon."
